
Frequency[Hz],Cal value[dB],Gen level[dBµV],Input level[dBµV],Output level[dBµV]
150000.0000,2.50,76.07,126.90,124.40
151500.0000,2.60,76.07,127.00,124.40
153015.0000,2.60,76.07,127.00,124.40
154545.1500,2.60,76.07,127.00,124.40
156090.6015,2.60,76.07,127.00,124.40
157651.5075,2.60,76.07,127.00,124.40
159228.0226,2.50,76.07,127.00,124.50
160820.3028,2.50,76.07,127.00,124.50
162428.5058,2.50,76.07,127.00,124.50
164052.7909,2.50,76.07,127.00,124.50
165693.3188,2.50,76.07,127.00,124.50
167350.2520,2.50,76.07,127.00,124.50
169023.7545,2.50,76.07,127.00,124.50
170713.9921,2.50,76.07,127.00,124.50
172421.1320,2.50,76.07,127.00,124.50
174145.3433,2.50,76.07,127.00,124.50
175886.7967,2.50,76.07,127.00,124.50
177645.6647,2.50,76.07,127.00,124.50
179422.1214,2.50,76.07,127.00,124.50
181216.3426,2.50,76.07,127.00,124.50
183028.5060,2.50,76.07,127.00,124.50
184858.7911,2.50,76.07,127.00,124.50
186707.3790,2.50,76.07,127.00,124.50
188574.4528,2.50,76.07,127.00,124.50
190460.1973,2.50,76.07,127.00,124.50
192364.7993,2.50,76.07,127.00,124.50
194288.4472,2.50,76.07,127.00,124.50
196231.3317,2.50,76.07,127.00,124.50
198193.6450,2.50,76.07,127.00,124.50
