
Frequency[Hz],Cal value[dB],Gen level[dBµV],Input level[dBµV],Output level[dBµV]
150000.0000,2.60,77.48,127.90,125.30
151500.0000,2.60,77.48,127.90,125.30
153015.0000,2.50,77.48,127.90,125.40
154545.1500,2.50,77.48,127.90,125.40
156090.6015,2.50,77.48,127.90,125.40
157651.5075,2.50,77.48,127.90,125.40
159228.0226,2.50,77.48,127.90,125.40
160820.3028,2.60,77.48,128.00,125.40
162428.5058,2.60,77.48,128.00,125.40
164052.7909,2.60,77.48,128.00,125.40
165693.3188,2.60,77.48,128.00,125.40
167350.2520,2.60,77.48,128.00,125.40
169023.7545,2.50,77.48,128.00,125.50
170713.9921,2.50,77.48,128.00,125.50
172421.1320,2.50,77.48,128.00,125.50
174145.3433,2.50,77.48,128.00,125.50
175886.7967,2.50,77.48,128.00,125.50
177645.6647,2.50,77.48,128.00,125.50
179422.1214,2.50,77.48,128.00,125.50
181216.3426,2.50,77.48,128.00,125.50
183028.5060,2.50,77.48,128.00,125.50
184858.7911,2.50,77.48,128.00,125.50
186707.3790,2.50,77.48,128.00,125.50
188574.4528,2.50,77.48,128.00,125.50
190460.1973,2.50,77.48,128.00,125.50
192364.7993,2.50,77.48,128.00,125.50
194288.4472,2.50,77.48,128.00,125.50
196231.3317,2.50,77.48,128.00,125.50
198193.6450,2.50,77.48,128.00,125.50
